month,day,sched_dep_time,origin,distance,arr_delay
7,15,2240,JFK,638.3,-20.6
4,20,1050,EWR,2397.4,9.7
11,29,1428,EWR,1306.6,19.5
8,27,2189,EWR,371.0,0.0
5,10,2211,JFK,1504.6,48.0
7,29,1252,LGA,363.4,24.4
10,3,921,JFK,473.9,-8.2
3,19,1892,JFK,794.9,10.2
7,3,1145,EWR,2592.6,-9.6
11,22,1057,EWR,2781.4,22.1
11,14,549,JFK,2496.1,21.1
8,8,1177,JFK,1068.8,26.8
5,27,605,LGA,890.1,7.5
4,23,1739,LGA,1692.6,10.7
8,30,1157,EWR,2193.4,-18.7
8,4,1948,LGA,2980.8,7.6
3,27,1595,LGA,481.6,-2.4
6,28,1487,EWR,242.9,32.0
5,20,1341,LGA,2113.6,6.6
2,11,2308,JFK,2513.5,25.0
8,26,2282,LGA,2554.4,29.1
12,31,945,EWR,2067.5,15.2
6,11,1709,JFK,2866.6,55.8
2,27,569,LGA,1581.9,11.1
12,30,649,JFK,2750.1,27.9
5,11,1769,JFK,2906.7,77.9
1,2,1273,LGA,2556.8,4.3
12,30,2061,LGA,998.3,-1.2
10,17,2175,EWR,669.0,-36.7
6,9,1622,EWR,1689.5,12.5
12,28,1801,JFK,1413.7,40.3
9,31,2086,EWR,2645.5,53.1
1,28,2186,JFK,390.1,-1.8
11,2,1443,JFK,847.4,27.2
11,29,954,EWR,2280.2,39.9
10,24,1627,EWR,375.5,54.1
12,15,1445,EWR,1030.2,24.5
12,16,1100,LGA,1222.8,8.7
3,25,1152,JFK,1905.5,-1.1
12,4,1224,JFK,558.6,28.0
7,8,732,JFK,2595.8,35.7
4,9,1917,EWR,1397.9,7.7
9,26,2024,EWR,2759.4,68.3
3,26,2218,EWR,1456.8,-24.8
5,5,750,EWR,897.6,1.0
3,16,2044,EWR,511.3,21.1
7,13,578,LGA,110.9,19.1
5,30,1575,EWR,1643.3,-16.5
9,7,1397,JFK,410.8,21.1
7,26,1420,EWR,1236.0,29.5
2,20,1280,JFK,1808.9,27.1
4,17,725,EWR,899.5,0.8
9,3,1574,EWR,608.2,18.5
12,5,1709,JFK,2346.7,6.4
2,19,1557,JFK,2845.7,35.9
10,12,1302,JFK,391.3,20.3
9,29,1241,JFK,551.2,4.7
10,27,630,LGA,2884.0,38.1
5,7,1522,JFK,209.6,30.2
2,28,1131,EWR,2935.1,2.5
4,9,1966,EWR,113.5,29.0
12,31,1337,LGA,2633.6,28.2
12,28,1258,JFK,991.2,18.0
7,6,1955,EWR,2821.9,61.3
12,29,1203,LGA,1019.1,-12.5
8,26,996,EWR,1997.5,-3.2
3,17,1926,LGA,332.1,24.6
1,16,822,LGA,802.8,-14.1
4,23,1733,JFK,2343.7,2.8
2,31,1114,LGA,1633.2,37.7
8,3,828,EWR,2791.1,19.6
4,21,1895,EWR,1343.4,-5.9
2,26,1983,JFK,2622.5,36.0
6,4,632,JFK,1402.0,-4.4
6,10,1334,LGA,2939.8,28.7
10,5,1150,JFK,2883.5,41.6
4,21,620,EWR,1054.5,31.6
6,22,1105,EWR,2669.2,-4.6
2,30,1975,JFK,2558.1,-7.1
10,10,1464,JFK,711.0,-7.3
12,12,628,JFK,1910.4,19.3
2,10,1614,LGA,310.8,29.8
10,29,2127,LGA,2526.5,8.8
4,13,2098,EWR,606.2,69.0
8,11,528,LGA,305.4,-19.7
7,22,1221,LGA,1260.6,18.1
12,16,2047,LGA,1773.1,-0.4
9,8,832,LGA,2579.3,30.5
8,8,1820,EWR,2925.3,67.7
5,27,1653,JFK,1374.5,56.0
2,25,1816,EWR,275.3,31.1
5,8,1696,LGA,2272.4,38.5
8,13,2243,JFK,1739.0,10.0
10,27,1443,JFK,1398.9,-19.5
9,2,1547,JFK,996.9,-1.2
12,30,1622,EWR,1557.0,1.9
12,30,1929,JFK,1082.2,27.5
12,12,855,EWR,2295.3,-6.1
9,10,638,EWR,1677.3,16.3
1,12,2026,LGA,2642.9,27.1
9,11,2349,LGA,1676.3,14.2
7,15,1697,JFK,791.0,26.0
9,16,528,JFK,2568.2,44.8
8,17,1430,LGA,1715.9,68.5
1,26,995,EWR,699.8,-7.9
12,2,1513,EWR,1908.2,53.3
8,18,1154,LGA,1137.4,46.4
8,12,1327,EWR,2548.8,22.9
11,19,850,LGA,1414.6,30.8
3,26,1053,LGA,2206.7,-24.7
1,23,798,JFK,377.1,14.7
8,18,2243,JFK,1248.5,15.1
3,30,2365,LGA,2951.4,32.4
3,17,1715,JFK,2444.5,12.2
1,30,2195,LGA,563.8,-2.8
11,6,563,EWR,905.5,23.4
5,25,1254,EWR,1056.5,-13.2
10,15,1269,EWR,1986.1,33.4
7,3,2187,EWR,2295.3,27.6
10,6,1738,LGA,2273.6,36.4
9,3,1333,EWR,1578.6,36.8
12,30,665,EWR,2451.4,36.1
7,29,2066,EWR,1367.5,24.7
9,1,1755,EWR,459.3,-12.1
8,30,2317,LGA,1736.9,20.8
12,13,2064,EWR,2861.7,28.9
2,28,1718,JFK,2399.7,70.1
